DRAM,GPU,CPU,total,Runtime
43.43,89.107,57.972,190.509,868.6
43.389,89.095,57.959,190.443,867.8
43.183,88.207,57.752,189.143,863.7
42.986,88.319,57.319,188.624,859.7
42.684,87.902,56.798,187.384,853.7
43.257,88.836,57.862,189.955,865.1
42.561,88.162,56.613,187.337,851.2
42.96,88.295,57.269,188.524,859.2
43.241,88.391,57.705,189.336,864.8
43.156,89.109,57.726,189.992,863.1
42.111,87.476,55.971,185.558,842.2
42.726,88.373,56.909,188.008,854.5
43.473,89.555,57.99,191.018,869.5
43.621,89.852,58.262,191.734,872.4